"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-01","6.26","0.00","0.0","0.0","65","72","62","  260","  230","16.1","21.9","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-02","7.61","0.00","0.0","0.0","67","73","61","  250","  250","21.9","28.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-03","6.04","0.00","0.0","0.0","66","72","59","  260","  260","19.9","25.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-04","6.71","0.00","0.0","0.0","66","74","59","  270","  270","16.1","21.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-05","6.49","0.00","0.0","0.0","70","80","63","  240","  280","17.0","21.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-06","5.14","0.00","0.0","0.0","72","86","62","  270","  260","15.0","19.0","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-07","5.37","0.00","0.0","0.0","74","87","65","  250","  260","14.1","18.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-08","6.49","0.00","0.0","0.0","71","77","63","  240","  220","15.0","19.9","    1","    1","    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-09","6.71","0.00","0.0","0.0","69","74","56","  260","  230","15.0","19.9","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-10","9.40","0.00","0.0","0.0","66","71","62","  260","  260","18.1","25.1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-11","11.18","0.00","0.0","0.0","65","71","62","  260","  250","21.0","25.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-12","9.62","0.00","0.0","0.0","64","72","59","  250","  230","19.9","23.9",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-13",,"0.00","0.0","0.0","65","71","59",,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-14","9.84","0.00","0.0","0.0","66","73","58","  240","  240","28.0","33.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-15","7.61","0.00","0.0","0.0","65","73","59","  270","  270","23.9","28.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-16","6.49","0.00","0.0","0.0","66","74","59","  260","  270","14.1","19.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-17","9.62","0.00","0.0","0.0","66","75","60","  260","  260","21.9","27.1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-18","12.75","0.12","0.0","0.0","64","70","59","  260","  260","23.9","29.1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-19","13.42","0.00","0.0","0.0","62","68","56","  260","  270","28.0","33.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-20","8.50","0.00","0.0","0.0","62","68","54","  250","  260","18.1","23.0",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-21","7.61","0.00","0.0","0.0","64","73","57","  250","  250","21.0","25.9",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-22","7.83","0.00","0.0","0.0","66","75","59","  250","  250","21.0","25.9",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-23","8.50","0.00","0.0","0.0","64","70","59","  270","  260","18.1","23.9",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-24","7.38","0.00","0.0","0.0","63","70","59","  270","  270","21.0","23.9",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-25","7.83","0.00","0.0","0.0","63","69","59","  260","  210","14.1","19.9",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-26","7.16","0.00","0.0","0.0","63","69","58","  270","  260","18.1","23.9","    1","    1","    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-27","6.93","0.00","0.0","0.0","62","69","57","  270",,"17.0",,"    1","    1","    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-28","7.16","0.00","0.0","0.0","62","68","59","  260","  250","16.1","19.0","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-29","7.61","0.00","0.0","0.0","62","68","60","  240","  260","15.0","19.0","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-30","11.86","0.00","0.0","0.0","64","71","60","  260","  270","23.9","27.1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-31","9.62","0.00","0.0","0.0","64","70","58","  260","  280","23.9","29.1",,,
