"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-01","0.00","0.0","0.0",,"42","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-02","0.00","0.0","0.0","40","49","34"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-03","0.14","0.0","0.0","47","49","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-04","0.24","0.0","0.0","47","50","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-05","0.00","0.0","0.0","40","41","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-06","0.02","0.7","1.2","37","44","32"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-07","0.00","0.0","0.0","41","44","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-08","0.00","0.0","0.0","36","43","28"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-09","0.00","0.0","0.0","29","34","24"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-10","0.00","0.0","0.0","40","53","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-11","0.00","0.0","0.0","55","66","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-12","0.06","0.0","0.0","60","67","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-13","0.00","0.0","0.0","43","45","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-14","0.07","0.0","0.0","41","44","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-15","0.00","0.0","0.0","44","50","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-16","0.12","0.0","0.0","45","50","34"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-17","0.00","0.0","0.0","29","34","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-18","0.18","1.9","0.0","24","37","20"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-19","0.00","0.0","0.0","39","43","28"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-20","0.00","0.0","0.0","27","32","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-21","0.00","0.0","0.0","26","33","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-22","0.00","0.0","0.0","31","39","26"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-23","0.00","0.0","0.0","38","46","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-24","0.00","0.0","0.0","41","46","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-25","0.78","0.0","0.0","41","52","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-26","0.00","0.0","0.0","43","46","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-27","0.00","0.0","0.0","40","45","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-28","0.00","0.0","0.0","40","42","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-29","0.00","0.0","0.0","36","40","31"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-30","0.00","0.0","0.0","31","35","25"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-31","0.01","0.0","0.0","36","42","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-01","0.01","0.0","0.0","39","42","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-02","0.06","0.0","0.0","39","43","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-03","0.00","0.0","0.0","44","56","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-04","0.01","0.0","0.0","46","58","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-05","0.00","0.0","0.0","44","53","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-06","0.56","0.0","0.0","38","41","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-07","0.29","0.0","0.0","40","58","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-08","0.00","0.0","0.0","34","40","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-09","0.00","0.0","0.0","35","42","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-10","0.41","0.0","0.0","43","47","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-11","0.26","0.0","0.0","44","48","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-12","0.13","0.0","0.0","42","45","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-13","0.39","0.0","0.0","39","44","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-14","0.00","0.0","0.0","35","40","19"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-15","0.00","0.0","0.0","22","30","15"
